read_ID,start,length
M04808:132:000000000-CTP75:1:2107:18217:1969,5247606,1150
M04808:132:000000000-CTP75:1:2107:9042:2472,5247060,1221
M04808:132:000000000-CTP75:1:2107:12734:2632,5246360,2240
M04808:132:000000000-CTP75:1:2107:21371:3263,5247569,667
M04808:132:000000000-CTP75:1:2107:9890:2180,5246380,1863
M04808:132:000000000-CTP75:1:2107:22352:2779,5247800,445
M04808:132:000000000-CTP75:1:2107:20767:3615,5247920,324
M04808:132:000000000-CTP75:1:2107:23372:4346,5246011,2225
M04808:132:000000000-CTP75:1:2107:17750:4152,5248121,937
M04808:132:000000000-CTP75:1:2107:14470:4166,5248226,1272
M04808:132:000000000-CTP75:1:2107:23369:4096,5248120,386
M04808:132:000000000-CTP75:1:2107:5065:4415,5247174,1058
M04808:132:000000000-CTP75:1:2107:15962:2907,5247810,424
M04808:132:000000000-CTP75:1:2107:6844:4593,5247361,871
M04808:132:000000000-CTP75:1:2107:23449:4621,5245955,3777
M04808:132:000000000-CTP75:1:2107:21865:5001,5247487,745
M04808:132:000000000-CTP75:1:2107:15235:4742,5247888,344
M04808:132:000000000-CTP75:1:2107:15912:5270,5245955,3777
M04808:132:000000000-CTP75:1:2107:13374:5112,5246311,2165
M04808:132:000000000-CTP75:1:2107:18416:5149,5247790,453
M04808:132:000000000-CTP75:1:2107:24408:5164,5247240,995
M04808:132:000000000-CTP75:1:2107:15186:5235,5246816,1427
M04808:132:000000000-CTP75:1:2107:11933:5668,5247187,1046
M04808:132:000000000-CTP75:1:2107:17751:5841,5248224,378
M04808:132:000000000-CTP75:1:2107:5967:6178,5247914,330
M04808:132:000000000-CTP75:1:2107:10692:6756,5247583,660
M04808:132:000000000-CTP75:1:2107:27286:7333,5246690,2403
M04808:132:000000000-CTP75:1:2107:23103:7115,5246011,2225
M04808:132:000000000-CTP75:1:2107:27757:6812,5246351,1884
M04808:132:000000000-CTP75:1:2107:5742:7013,5247351,881
M04808:132:000000000-CTP75:1:2107:24958:8044,5247745,767
M04808:132:000000000-CTP75:1:2107:25570:8205,5246822,1411
M04808:132:000000000-CTP75:1:2107:14495:8058,5247788,455
M04808:132:000000000-CTP75:1:2107:4387:8706,5248216,303
M04808:132:000000000-CTP75:1:2107:15187:8730,5247164,1068
M04808:132:000000000-CTP75:1:2107:27016:8540,5248228,238
M04808:132:000000000-CTP75:1:2107:27601:8948,5246426,3923
M04808:132:000000000-CTP75:1:2107:23634:8674,5245876,2356
M04808:132:000000000-CTP75:1:2107:23588:8880,5247584,1092
M04808:132:000000000-CTP75:1:2107:21334:9140,5247710,805
M04808:132:000000000-CTP75:1:2107:26620:9374,5247830,550
M04808:132:000000000-CTP75:1:2107:15684:8990,5248227,669
M04808:132:000000000-CTP75:1:2107:5227:9713,5246124,2110
M04808:132:000000000-CTP75:1:2107:16230:9171,5247773,460
M04808:132:000000000-CTP75:1:2107:15382:9031,5248225,1635
M04808:132:000000000-CTP75:1:2107:25386:9561,5247174,1058
M04808:132:000000000-CTP75:1:2107:22673:9507,5248224,352
M04808:132:000000000-CTP75:1:2107:12828:9611,5247861,475
M04808:132:000000000-CTP75:1:2107:10232:9972,5248230,1000
M04808:132:000000000-CTP75:1:2107:25063:10073,5248226,692
M04808:132:000000000-CTP75:1:2107:5103:10298,5246829,1853
M04808:132:000000000-CTP75:1:2107:16108:10270,5248228,382
